cluster_id,name,articles,T_prod,I_prod,F_prod,T_cite,I_cite,F_cite,T_coauth,I_coauth,F_coauth,T_theory,I_theory,F_theory,T_agg,I_agg,F_agg,score,rank_classical,rank_neutro,rank_change
749,Ariel José Romero Fernández,4,0.198,0.485,0.318,0.0,0.5,0.5,0.044,0.473,0.483,0.0,0.5,0.5,0.06425381557272536,0.489368174403356,0.44266844484055345,0.3774057321096052,52,135,-83
846,Marco Patricio Villa Zura,3,0.148,0.441,0.411,0.0,0.5,0.5,0.079,0.451,0.47,0.0,0.667,0.333,0.05881541399181489,0.507490296137515,0.4234854362161301,0.37594656054605674,87,136,-49
780,Diego Fernando Coka Flores,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.333,0.667,0.05551162359336148,0.4286991917851803,0.5051354144303835,0.37389233912593256,87,137,-50
766,Jairo Alexander Zúñiga Orozco,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.333,0.667,0.05551162359336148,0.4286991917851803,0.5051354144303835,0.37389233912593256,87,137,-50
664,Carlos Ramiro Hurtado Lomas,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.333,0.667,0.05551162359336148,0.4286991917851803,0.5051354144303835,0.37389233912593256,87,137,-50
479,Josué Ramón Limaico Mina,3,0.148,0.441,0.411,0.0,0.5,0.5,0.066,0.46,0.475,0.0,0.667,0.333,0.05551162359336148,0.5100033923265576,0.4246072617684056,0.37363365649946606,87,140,-53
1245,Rosa Leonor Maldonado Manzano,3,0.148,0.441,0.411,0.0,0.625,0.375,0.0,0.5,0.5,0.0,0.25,0.75,0.03925109453479547,0.4308312083188366,0.4903160270400806,0.3727012863919594,87,141,-54
1322,Mesías Elías Machado Maliza,4,0.198,0.485,0.318,0.0,0.625,0.375,0.0,0.5,0.5,0.0,0.5,0.5,0.05366785653967798,0.5246750845230936,0.415527335440546,0.3711551455253462,52,142,-90
1106,Vanessa Josefa Hernández Alvarado,3,0.148,0.441,0.411,0.0,0.333,0.667,0.0,0.5,0.5,0.0,0.667,0.333,0.03925109453479547,0.47042962712802766,0.4622165305843383,0.36886831227414313,87,143,-56
81,María Elena Infante Miranda,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.333,0.667,0.03925109453479547,0.4377293909533536,0.5116546390396807,0.36328902151392023,87,144,-57
1068,Luis Darío Pérez Villalba,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.333,0.667,0.03925109453479547,0.4377293909533536,0.5116546390396807,0.36328902151392023,87,144,-57
630,Diana Elizabeth Correa Manzano,3,0.148,0.441,0.411,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.667,0.333,0.03925109453479547,0.5207461982319641,0.43008719849651705,0.3628058992687713,87,146,-59
