doi,pdf_url,local_path,status,size,info
10.5281/zenodo.17138391,https://fs.unm.edu/NCML/17.OptimizacionRutasRecoleccion.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17138391.pdf,exists,1212000,
10.5281/zenodo.17247347,https://fs.unm.edu/NCML/1-1-30IterativeMultiFuzzySetIterativeMultiNeutrosophic.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17247347.pdf,exists,405050,
10.5281/zenodo.16930978,https://fs.unm.edu/NCML/29.HipergrafosCognitivosSuper.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16930978.pdf,exists,340790,
10.5281/zenodo.17263068,https://fs.unm.edu/NCML/5-71-78An%C3%A1lisis%20EstrategiasMitigaciRiesgos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17263068.pdf,exists,936722,
10.5281/zenodo.15588462,https://fs.unm.edu/NCML/19.%20instrumentogarantia.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15588462.pdf,exists,410878,
10.5281/zenodo.18041589,https://fs.unm.edu/NCML/25-363-378MejoraProcesosOrganizacionalesIndeterminaci%C3%B3n.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18041589.pdf,exists,797556,
10.5281/zenodo.15616947,https://fs.unm.edu/NCML/40.%20beneficiosindigenasenEcuador.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15616947.pdf,exists,559703,
10.5281/zenodo.15200535,https://fs.unm.edu/NCML/16.eficaciayresultados.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200535.pdf,exists,1043683,
10.5281/zenodo.16908157,https://fs.unm.edu/NCML/7.NeutrosofiaCosmovisionesAmerica.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16908157.pdf,exists,1337423,
10.5281/zenodo.17138409,https://fs.unm.edu/NCML/16.AnalisisComparativoVision.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17138409.pdf,exists,913015,
10.5281/zenodo.19080474,https://fs.unm.edu/NCML/27-402-411SeleccionModeloGobernanzaDatosPresupuestarios.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.19080474.pdf,exists,1460797,
10.5281/zenodo.16930964,https://fs.unm.edu/NCML/28.RedesNeuronalesMultiSuper.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16930964.pdf,exists,364658,
10.5281/zenodo.15588440,https://fs.unm.edu/NCML/18.%20emprendimientosciudad.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15588440.pdf,exists,682795,
10.5281/zenodo.17970201,https://fs.unm.edu/NCML/24-354-362EnfoqueH%C3%ADbridoMontecarloNeutros%C3%B3ficoReducirTiempos.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17970201.pdf,exists,1033083,
10.5281/zenodo.18344126,https://fs.unm.edu/NCML/13-218-241CurvasSuperficiesGeometrias%20Smarandache.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.18344126.pdf,exists,1383975,
10.5281/zenodo.15611971,https://fs.unm.edu/NCML/39.%20terrorismocrimen.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15611971.pdf,exists,536068,
10.5281/zenodo.15200531,https://fs.unm.edu/NCML/15.apendicectomialaparoscopica.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.15200531.pdf,exists,568351,
10.5281/zenodo.16908153,https://fs.unm.edu/NCML/6.FormalizandoDiversidadPerspectivas.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.16908153.pdf,exists,1218375,
10.5281/zenodo.17138990,https://fs.unm.edu/NCML/15.DisenoPlataformaIoT.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.17138990.pdf,exists,664389,
10.5281/zenodo.19080256,https://fs.unm.edu/NCML/26-395-401SeleccionNeutrosoficoModelosLenguajeLLM.pdf,C:\Users\HP\Documents\NCML_Bibliometric\data\pdfs\10.5281_zenodo.19080256.pdf,exists,686500,
