cluster_id,name_canonical,articles,orcid,institutions,countries,name_variants,first_year,last_year
713,Marilyn Gabriela Acosta Guamán,1,,,,Marilyn Gabriela Acosta Guamán,2023,2023
714,Lady Mariela Trávez Corrales,1,,,,Lady Mariela Trávez Corrales,2023,2023
716,Leslie Dayana Avilés Brito,1,,,,Leslie Dayana Avilés Brito,2023,2023
717,Jennifer Dayana Cárdenas Velastegui,1,,,,Jennifer Dayana Cárdenas Velastegui,2023,2023
721,Jesús Joel Papa Santi,1,,,,Jesús Joel Papa Santi,2023,2023
691,Jenny Victoria Manosalvas Tapia,1,,,,Jenny Victoria Manosalvas Tapia,2024,2024
692,Gabriela Monserrath Freire Neto,1,,,,Gabriela Monserrath Freire Neto,2024,2024
693,Daniela Judith Araujo Moreta,1,,,,Daniela Judith Araujo Moreta,2024,2024
262,Erika Gabriela Álava Jiménez,1,,,,Erika Gabriela Álava Jiménez,2025,2025
263,Natalia Elizabeth Lojano  Patiño,1,,,,Natalia Elizabeth Lojano  Patiño,2025,2025
264,Cindy Gabriela Ortega García,1,,,,Cindy Gabriela Ortega García,2025,2025
266,Edwin José Moran Estrada,1,,,,Edwin José Moran Estrada,2025,2025
267,Alexander Javier Paredes Romero,1,,,,Alexander Javier Paredes Romero,2025,2025
733,Iván Patricio Saquicela Rodas,1,,,,Iván Patricio Saquicela Rodas,2023,2023
735,María De Los Ángeles García Páez,1,,,,María De Los Ángeles García Páez,2023,2023
738,Alex Fabián Solano Moreno,1,,,,Alex Fabián Solano Moreno,2023,2023
707,Johanna Nicole Palacios Soria,1,,,,Johanna Nicole Palacios Soria,2023,2023
708,Steven Oswaldo Paredes Lara,1,,,,Steven Oswaldo Paredes Lara,2023,2023
709,Axel Anthony Tibán Herrera,1,,,,Axel Anthony Tibán Herrera,2023,2023
246,Jordan Aldair Soria Mena,1,,,,Jordan Aldair Soria Mena,2025,2025
247,Diego Fernando Caguana Pilapanta,1,,,,Diego Fernando Caguana Pilapanta,2025,2025
252,María Gladys Balla Yumisaca,1,,,,María Gladys Balla Yumisaca,2025,2025
254,Roberto Rolando López López,1,,,,Roberto Rolando López López,2025,2025
255,Abdel Bermúdez-del Sol,1,,,,Abdel Bermúdez-del Sol,2025,2025
256,Karen Aracelly Tobar Armendáriz,1,,,,Karen Aracelly Tobar Armendáriz,2025,2025
257,Luis Ramón Bravo Sánchez,1,,,,Luis Ramón Bravo Sánchez,2025,2025
258,Alexis Santiago Sisalema Peñafiel,1,,,,Alexis Santiago Sisalema Peñafiel,2025,2025
227,Cosme Rodrigo Rea Guadalupe,1,,,,Cosme Rodrigo Rea Guadalupe,2025,2025
229,Paulina del Rocío Borja Bautista,1,,,,Paulina del Rocío Borja Bautista,2025,2025
233,Meyvelin de Lourdes Balladares Ortiz,1,,,,Meyvelin de Lourdes Balladares Ortiz,2025,2025
234,Emily Belén Chiriboga Mera,1,,,,Emily Belén Chiriboga Mera,2025,2025
235,Marco Antonio González Partidas,1,,,,Marco Antonio González Partidas,2025,2025
236,Doris Dayana López Carvajal,1,,,,Doris Dayana López Carvajal,2025,2025
237,Luis Orlando Albarracín Zambrano,1,,,,Luis Orlando Albarracín Zambrano,2025,2025
238,Joel Alexander Acosta Melo,1,,,,Joel Alexander Acosta Melo,2025,2025
239,Luis Sebastián Cañar Teneda,1,,,,Luis Sebastián Cañar Teneda,2025,2025
240,Paulo Ariel Yépez Benavides,1,,,,Paulo Ariel Yépez Benavides,2025,2025
241,Justin Luis Moreira García,1,,,,Justin Luis Moreira García,2025,2025
242,Raúl Alejandro Duran Enríquez,1,,,,Raúl Alejandro Duran Enríquez,2025,2025
211,Melina Geraldin Flores Castro,1,,,,Melina Geraldin Flores Castro,2025,2025
212,Jolena Verónica Vinueza Lara,1,,,,Jolena Verónica Vinueza Lara,2025,2025
726,Matías Gabriel Jaramillo López,1,,,,Matías Gabriel Jaramillo López,2023,2023
727,Angela Karina Bustillos Mallitasig,1,,,,Angela Karina Bustillos Mallitasig,2023,2023
731,María Cristina López Hidalgo,1,,,,María Cristina López Hidalgo,2023,2023
732,María Lorena Merizalde Avilés,1,,,,María Lorena Merizalde Avilés,2023,2023
226,Melanny Yuliana Espinoza Robalino,1,,,,Melanny Yuliana Espinoza Robalino,2025,2025
195,Leydy Vanessa Pilatasig Díaz,1,,,,Leydy Vanessa Pilatasig Díaz,2025,2025
196,Eloisa Cumanda Santamaría Guamán,1,,,,Eloisa Cumanda Santamaría Guamán,2025,2025
197,Javier Renato Moyano Arévalo,1,,,,Javier Renato Moyano Arévalo,2025,2025
759,"Chávez Carrillo, Christian Roberto",1,,,,"Chávez Carrillo, Christian Roberto",2023,2023
760,"Freire Zavala, Marcia Judith",1,,,,"Freire Zavala, Marcia Judith",2023,2023
763,"Paola Anahí, Coello Calle",1,,,,"Paola Anahí, Coello Calle",2023,2023
764,"Alison Estefanía, Rea Reinoso",1,,,,"Alison Estefanía, Rea Reinoso",2023,2023
765,"Jiménez Iglesias, Elvis Adrián",1,,,,"Jiménez Iglesias, Elvis Adrián",2023,2023
768,"Coello Avilés, Esther Maricela",1,,,,"Coello Avilés, Esther Maricela",2023,2023
769,"Bedón Troya, Eduardo Ángel",1,,,,"Bedón Troya, Eduardo Ángel",2023,2023
770,"Gómez Proaño, Tirsa Salome",1,,,,"Gómez Proaño, Tirsa Salome",2023,2023
723,David Fernando Carrillo Rosero,1,,,,David Fernando Carrillo Rosero,2023,2023
725,Paola Estefania Guerrero Moran,1,,,,Paola Estefania Guerrero Moran,2023,2023
230,Pamela Sarai Chimbiligua Figueroa,1,,,,Pamela Sarai Chimbiligua Figueroa,2025,2025
231,Elian Emanuel Icaza Moran,1,,,,Elian Emanuel Icaza Moran,2025,2025
783,"Espinoza Castro, María Belén",1,,,,"Espinoza Castro, María Belén",2023,2023
784,"Rubio Benavides, Solange Estefanía",1,,,,"Rubio Benavides, Solange Estefanía",2023,2023
785,"Villarreal Ger, Madelaine Gissela",1,,,,"Villarreal Ger, Madelaine Gissela",2023,2023
786,"Vega Martínez, Verónica Alicia",1,,,,"Vega Martínez, Verónica Alicia",2023,2023
756,Frantz Dimitri Villamarín Barragán,1,,,,Frantz Dimitri Villamarín Barragán,2023,2023
757,Carlos Andrés Sáa Lara,1,,,,Carlos Andrés Sáa Lara,2023,2023
215,Xavier Alexander Larcos Loarte,1,,,,Xavier Alexander Larcos Loarte,2025,2025
216,Ligia Ivette Valle Ortiz,1,,,,Ligia Ivette Valle Ortiz,2025,2025
217,Lessly Denisse Iza Campaña,1,,,,Lessly Denisse Iza Campaña,2025,2025
218,Alejandra Abigail Molina Lozada,1,,,,Alejandra Abigail Molina Lozada,2025,2025
219,Mayra Esthefania Gavilanez Curay,1,,,,Mayra Esthefania Gavilanez Curay,2025,2025
220,Rodolfo Joel Muñoz Altamirano,1,,,,Rodolfo Joel Muñoz Altamirano,2025,2025
222,Jenny Yolanda Barreno Sánchez,1,,,,Jenny Yolanda Barreno Sánchez,2025,2025
223,María José Barreno Sánchez,1,,,,María José Barreno Sánchez,2025,2025
224,Luis Geovanny Sarauz Huertas,1,,,,Luis Geovanny Sarauz Huertas,2025,2025
