doi,concept,level,score
10.5281/zenodo.17247347,Mathematical optimization,1,0.3212999999523163
10.5281/zenodo.17247347,Iterative refinement,2,0.2809000015258789
10.5281/zenodo.17247347,Artificial intelligence,1,0.25600001215934753
10.5281/zenodo.17247347,Fuzzy control system,3,0.25279998779296875
10.5281/zenodo.17247940,Humanities,1,0.6762999892234802
10.5281/zenodo.17247940,Political science,0,0.4357999861240387
10.5281/zenodo.17247940,Philosophy,0,0.3822000026702881
10.5281/zenodo.17247940,Context (archaeology),2,0.19850000739097595
10.5281/zenodo.17247940,Sociology,0,0.1818999946117401
10.5281/zenodo.17247940,Productivity,2,0.14219999313354492
10.5281/zenodo.17247940,Latin Americans,2,0.1273999959230423
10.5281/zenodo.17247940,Work (physics),2,0.1193000003695488
10.5281/zenodo.17247940,Perspective (graphical),2,0.1145000010728836
10.5281/zenodo.17247940,Quality (philosophy),2,0.1143999993801117
10.5281/zenodo.17254700,Fuzzy logic,2,0.6617000102996826
10.5281/zenodo.17254700,Iterated function,2,0.6082000136375427
10.5281/zenodo.17254700,Mathematics,0,0.5429999828338623
10.5281/zenodo.17254700,Discrete mathematics,1,0.4729999899864197
10.5281/zenodo.17254700,Fuzzy set,3,0.47040000557899475
10.5281/zenodo.17254700,Theoretical computer science,1,0.4189000129699707
10.5281/zenodo.17254700,Computer science,0,0.4169999957084656
10.5281/zenodo.17254700,Tolerance analysis,2,0.3910999894142151
10.5281/zenodo.17254700,Fault tolerance,2,0.36899998784065247
10.5281/zenodo.17254700,Algorithm,1,0.34950000047683716
10.5281/zenodo.17254700,Hypergraph,2,0.34130001068115234
10.5281/zenodo.17254700,Join (topology),2,0.33629998564720154
10.5281/zenodo.17254700,Fuzzy control system,3,0.3156999945640564
10.5281/zenodo.17254700,Fuzzy number,4,0.30219998955726624
10.5281/zenodo.17254700,Combinatorics,1,0.29030001163482666
10.5281/zenodo.17254700,Fuzzy set operations,4,0.2881999909877777
10.5281/zenodo.17254700,Algebra over a field,2,0.2705000042915344
10.5281/zenodo.17254700,Data mining,1,0.25060001015663147
10.5281/zenodo.17254692,Political science,0,0.5753999948501587
10.5281/zenodo.17254692,Humanities,1,0.5135999917984009
10.5281/zenodo.17254692,Business,0,0.42239999771118164
10.5281/zenodo.17254692,Welfare economics,1,0.3163999915122986
10.5281/zenodo.17254692,Geography,0,0.22679999470710754
10.5281/zenodo.17254692,Coronavirus disease 2019 (COVID-19),4,0.17880000174045563
10.5281/zenodo.17254692,Economics,0,0.17749999463558197
10.5281/zenodo.17254692,Operations management,1,0.16529999673366547
10.5281/zenodo.17254692,Cartography,1,0.1469999998807907
10.5281/zenodo.17254692,Internet of Things,2,0.14339999854564667
10.5281/zenodo.17373916,Humanities,1,0.5408999919891357
10.5281/zenodo.17373916,Context (archaeology),2,0.367900013923645
10.5281/zenodo.17373916,Political science,0,0.3522999882698059
10.5281/zenodo.17373916,Sociology,0,0.32919999957084656
10.5281/zenodo.17373916,Work (physics),2,0.310699999332428
10.5281/zenodo.17373916,Psychology,0,0.3052000105381012
10.5281/zenodo.17373916,Geography,0,0.26489999890327454
10.5281/zenodo.17373916,Philosophy,0,0.24699999392032623
10.5281/zenodo.17373916,Field (mathematics),2,0.24079999327659607
10.5281/zenodo.17373916,Cartography,1,0.21889999508857727
10.5281/zenodo.17263068,TOPSIS,2,0.46720001101493835
10.5281/zenodo.17263068,Welfare economics,1,0.4490000009536743
10.5281/zenodo.17263068,Humanities,1,0.41269999742507935
10.5281/zenodo.17263068,Analytic hierarchy process,2,0.3817000091075897
10.5281/zenodo.17263068,Business,0,0.3709999918937683
10.5281/zenodo.17263068,Operations management,1,0.3564000129699707
10.5281/zenodo.17263068,Hierarchy,2,0.3337000012397766
10.5281/zenodo.17263068,Geography,0,0.31949999928474426
10.5281/zenodo.17263068,Order (exchange),2,0.31630000472068787
10.5281/zenodo.17263068,Process (computing),2,0.3125
10.5281/zenodo.17263068,Political science,0,0.3093000054359436
10.5281/zenodo.17263068,Computer science,0,0.2793999910354614
10.5281/zenodo.17263068,Decision process,2,0.2556999921798706
10.5281/zenodo.17374286,Humanities,1,0.685699999332428
10.5281/zenodo.17374286,Context (archaeology),2,0.5644999742507935
10.5281/zenodo.17374286,Psychology,0,0.4178999960422516
10.5281/zenodo.17374286,Art,0,0.3643999993801117
10.5281/zenodo.17374286,Sociology,0,0.31150001287460327
10.5281/zenodo.17374286,Secondary education,2,0.29490000009536743
10.5281/zenodo.17374286,Pedagogy,1,0.25130000710487366
10.5281/zenodo.17374286,Communication skills,2,0.25110000371932983
10.5281/zenodo.17374286,Philosophy,0,0.23070000112056732
10.5281/zenodo.17374286,Political science,0,0.2272000014781952
10.5281/zenodo.17402872,Humanities,1,0.6261000037193298
10.5281/zenodo.17402872,Philosophy,0,0.4668000042438507
10.5281/zenodo.17402872,Political science,0,0.38109999895095825
10.5281/zenodo.17402872,Art,0,0.2761000096797943
10.5281/zenodo.17402872,Sociology,0,0.23659999668598175
10.5281/zenodo.17402872,Cartography,1,0.21610000729560852
10.5281/zenodo.17402872,Computer science,0,0.21439999341964722
10.5281/zenodo.17402872,Artificial intelligence,1,0.20409999787807465
10.5281/zenodo.17402872,Context (archaeology),2,0.19460000097751617
10.5281/zenodo.17402872,Balance (ability),2,0.17350000143051147
10.5281/zenodo.17586163,Computer science,0,0.6741999983787537
10.5281/zenodo.17586163,Phenomenon,2,0.6438999772071838
10.5281/zenodo.17586163,Non-monotonic logic,2,0.602400004863739
10.5281/zenodo.17586163,Outcome (game theory),2,0.5967000126838684
